City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Mount Gambier,AU,-37.8333,140.7667,44.74,88,100,5.66,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,77,86,24.72,light rain
Chabahar,IR,25.2919,60.643,80.15,75,73,7.54,broken clouds
Sajanan,TN,37.0573,9.2426,74.32,73,85,9.15,overcast clouds
Tigil,RU,57.8,158.6667,33.62,97,100,8.28,light snow
Gat,IL,31.61,34.7642,72.39,70,0,2.73,clear sky
El Alto,PE,-4.2714,-81.2147,69.46,70,28,16.28,scattered clouds
Kautokeino,NO,69.0125,23.0412,33.37,68,58,12.17,broken clouds
Olbia,IT,40.9214,9.4856,66.25,88,0,2.3,clear sky
Gondanglegi,ID,-7.7479,112.0132,76.08,88,100,11.79,overcast clouds
Smithers,CA,54.7804,-127.1743,46.72,81,75,3.44,broken clouds
Payakumbuh,ID,-0.2202,100.6308,67.32,94,100,3.69,overcast clouds
Balagon,PH,8.0063,123.2396,68.22,97,99,3.53,overcast clouds
Reconquista,AR,-29.15,-59.65,74.46,40,100,8.21,overcast clouds
Taksimo,RU,56.3444,114.8794,17.1,86,75,1.34,broken clouds
Port Moresby,PG,-9.4431,147.1797,75.74,92,99,3.53,overcast clouds
Lavumisa,SZ,-27.31,31.892,70.93,75,100,3.69,overcast clouds
Noumea,NC,-22.2763,166.4572,75.99,99,100,2.26,overcast clouds
Cuxhaven,DE,53.8718,8.6909,57.96,100,75,9.22,broken clouds
Sorland,NO,67.667,12.6934,42.66,58,96,14.09,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,61.52,48,40,6.91,scattered clouds
Altay,CN,47.8667,88.1167,49.64,65,100,3.27,light rain
Eyrarbakki,IS,63.863,-21.1481,36.21,73,92,3.53,overcast clouds
High Level,CA,58.5169,-117.136,50.11,57,0,5.75,clear sky
Mangai,CD,-4.05,19.5333,71.22,94,82,2.04,broken clouds
Belaya Gora,RU,68.5333,146.4167,14.07,94,100,3.8,overcast clouds
Karakol,KG,42.4907,78.3936,47.08,41,71,1.74,broken clouds
Mercedes,AR,-34.6515,-59.4307,70.03,36,94,17.58,overcast clouds
Awbari,LY,26.5921,12.7805,72.3,39,0,7.49,clear sky
Bonavista,CA,48.6499,-53.1147,54.43,98,100,19.71,overcast clouds
Jibuti,DJ,11.5,42.5,76.73,66,0,14.63,clear sky
Zabid,YE,14.1951,43.3152,87.06,53,3,7.34,clear sky
Saint George,US,37.1041,-113.5841,80.44,26,0,4.0,clear sky
Neuquen,AR,-38.9516,-68.0591,69.69,40,0,0.0,clear sky
Nara,JP,34.6851,135.8049,64.49,71,65,3.29,broken clouds
Nesbyen,NO,60.5681,9.1027,42.37,95,100,1.92,overcast clouds
Mecca,SA,21.4267,39.8261,83.44,53,0,4.47,clear sky
Salur,IN,18.5333,83.2167,74.52,90,100,1.81,overcast clouds
Chernyshevskiy,RU,63.0128,112.4714,25.81,89,100,5.46,overcast clouds
Maumere,ID,-8.6199,122.2111,80.22,75,100,1.54,overcast clouds
Rockport,US,28.0206,-97.0544,77.05,100,40,12.66,light rain
Karlskoga,SE,59.3267,14.5239,48.38,94,100,5.1,light rain
Hooksett,US,43.0967,-71.4651,55.78,93,100,9.22,mist
Nome,US,64.5011,-165.4064,34.16,97,100,3.4,light snow
Ixtapa,MX,20.7,-105.2,88.23,75,48,4.0,scattered clouds
Bondo,CD,3.8146,23.6866,69.3,92,94,1.41,overcast clouds
Clyde River,CA,70.4692,-68.5914,26.83,93,100,20.71,fog
Meulaboh,ID,4.1363,96.1285,75.97,87,88,5.44,overcast clouds
Puerto Santander,CO,8.3636,-72.4063,89.01,62,96,5.28,overcast clouds
Santa Rosa,PH,14.3122,121.1114,81.1,88,71,1.79,broken clouds
Tarakan,ID,3.3,117.6333,78.98,84,100,8.08,light rain
Nuuk,GL,64.1835,-51.7216,41.88,70,100,27.0,overcast clouds
Kalmunai,LK,7.4167,81.8167,78.33,85,95,4.65,overcast clouds
Maniitsoq,GL,65.4167,-52.9,36.68,94,100,20.29,moderate rain
Kissidougou,GN,9.1848,-10.0999,71.33,87,100,2.59,overcast clouds
Lackawanna,US,42.8256,-78.8234,49.68,70,75,17.0,broken clouds
Jacareacanga,BR,-6.2222,-57.7528,82.6,73,68,3.11,heavy intensity rain
Pacific Grove,US,36.6177,-121.9166,74.39,68,64,8.99,broken clouds
Mukhen,RU,48.1,136.1,33.01,90,95,9.15,overcast clouds
Victoria,HK,22.2855,114.1577,78.85,69,100,24.09,overcast clouds
Ambon,ID,-3.6954,128.1814,75.34,94,20,8.05,few clouds
Padang,ID,-0.9492,100.3543,76.89,80,100,3.0,overcast clouds
Bilma,NE,18.6853,12.9164,83.5,21,0,8.93,clear sky
Anadyr,RU,64.75,177.4833,7.3,92,0,8.95,clear sky
Maceio,BR,-9.6658,-35.7353,81.84,69,75,16.11,broken clouds
Raudeberg,NO,61.9875,5.1352,46.96,35,100,8.57,light rain
Obo,CF,5.3998,26.4869,68.4,96,99,1.23,overcast clouds
San Jeronimo,PE,-11.9472,-75.2829,62.8,48,54,6.24,broken clouds
Oeiras,BR,-7.0253,-42.1311,97.84,17,18,7.9,few clouds
San Julian,MX,21.0167,-102.1667,77.86,30,100,3.06,overcast clouds
Tura,IN,25.5198,90.2201,68.29,94,0,2.93,clear sky
Fairborn,US,39.8209,-84.0194,49.05,38,100,17.27,overcast clouds
Hovd,MN,48.0056,91.6419,41.25,34,100,6.49,overcast clouds
Port Hardy,CA,50.6996,-127.4199,59.18,77,75,3.44,broken clouds
Huaiyin,CN,33.5886,119.0192,45.84,44,0,7.02,clear sky
Yarkovo,RU,57.4028,67.0786,38.44,95,95,5.06,overcast clouds
Matata,NZ,-37.8833,176.75,61.84,96,100,4.94,overcast clouds
Iquique,CL,-20.2208,-70.1431,62.64,70,43,8.61,scattered clouds
Labuhan,ID,-6.8844,112.2051,79.18,80,100,10.02,moderate rain
Shihezi,CN,44.3,86.0333,56.17,31,100,6.85,overcast clouds
Horki,BY,54.2861,30.9842,47.89,92,50,7.47,scattered clouds
Otradnoye,RU,59.7775,30.8181,50.09,82,100,11.14,overcast clouds
Quimper,FR,48.0,-4.1,61.38,94,100,4.61,overcast clouds
Tromso,NO,69.6496,18.957,37.42,87,75,4.61,broken clouds
Bud,US,39.447,-86.1758,46.85,47,53,19.73,broken clouds
Adrar,MR,20.5022,-10.0711,90.79,9,16,11.27,few clouds
Santiago De Cuba,CU,20.0247,-75.8219,84.94,63,43,5.35,scattered clouds
Korla,CN,41.7597,86.1469,53.33,24,71,1.79,broken clouds
Pandan Niog,PH,6.2282,120.5631,81.9,77,100,4.72,overcast clouds
Rodrigues Alves,BR,-7.738,-72.6509,86.2,57,100,4.94,overcast clouds
Charleston,US,32.7766,-79.9309,82.09,72,0,14.97,clear sky
Greenville,US,35.6127,-77.3663,82.56,50,40,11.5,scattered clouds
Robertsport,LR,6.7533,-11.3686,78.69,81,100,7.18,overcast clouds
Suzhou,CN,31.3114,120.6181,51.71,50,0,8.14,clear sky
Gweta,BW,-20.1833,25.2333,78.67,36,100,12.48,overcast clouds
Port Shepstone,ZA,-30.7414,30.455,71.85,91,29,16.62,scattered clouds
Caravelas,BR,-17.7125,-39.2481,77.32,73,24,9.4,few clouds
Liverpool,GB,53.4106,-2.9779,53.55,75,0,13.8,clear sky
Dera Bugti,PK,29.0307,69.151,77.45,19,0,5.3,clear sky
Papara,BR,-3.9839,-38.7273,81.0,60,100,8.48,overcast clouds
Derzhavinsk,KZ,51.1,66.3167,44.55,53,100,6.49,overcast clouds
Alice Town,BS,25.7167,-79.3,80.87,66,63,8.88,broken clouds
Westport,US,41.1415,-73.3579,67.08,70,100,5.99,overcast clouds
Liuzhou,CN,24.3126,109.3892,68.4,41,100,15.41,overcast clouds
Port Macquarie,AU,-31.4333,152.9167,56.89,90,100,4.16,overcast clouds
Calvinia,ZA,-31.4707,19.776,63.77,28,99,2.98,overcast clouds
Kedrovyy,RU,56.1667,91.8167,45.01,93,100,15.55,light rain
Vicuna,CL,-30.0319,-70.7081,78.76,33,0,9.1,clear sky
Malko Tarnovo,BG,41.9833,27.5333,51.53,88,82,8.72,broken clouds
Labytnangi,RU,66.6572,66.4183,32.68,95,92,6.49,overcast clouds
Treinta Y Tres,UY,-33.2333,-54.3833,63.95,73,46,16.71,scattered clouds
Itabira,BR,-19.6192,-43.2269,81.41,33,87,7.31,overcast clouds
Manokwari,ID,-0.8667,134.0833,78.91,77,100,3.13,overcast clouds
Srivardhan,IN,18.0333,73.0167,77.2,89,97,5.68,overcast clouds
Primorsk,UA,46.7348,36.3443,52.25,56,0,8.93,clear sky
Vieques,PR,18.425,-65.8329,84.2,76,100,7.96,overcast clouds
Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,4.61,scattered clouds
Inhambane,MZ,-23.865,35.3833,75.18,78,20,5.01,few clouds
Jalaun,IN,26.1451,79.3366,75.85,55,0,4.34,clear sky
Aklavik,CA,68.2191,-135.0107,26.6,93,75,2.3,broken clouds
Manoharpur,IN,27.3,75.95,71.38,48,0,5.46,clear sky
Kieta,PG,-6.2167,155.6333,78.53,82,46,2.84,light rain
Csongrad,HU,46.7133,20.1424,52.14,53,16,4.41,few clouds
Trinidad,BO,-14.8333,-64.9,90.55,50,70,1.83,broken clouds
Ojinaga,MX,29.5667,-104.4167,63.55,72,100,11.5,overcast clouds
Tanggu,CN,39.0211,117.6469,42.76,21,0,5.39,clear sky
Kishni,IN,27.0247,79.2634,73.0,61,0,5.5,clear sky
Riyadh,SA,24.6877,46.7219,82.54,15,100,3.78,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,45.27,96,100,22.32,light rain
Manuk Mangkaw,PH,4.8,119.85,81.7,78,100,3.76,moderate rain
Lasa,IT,46.6166,10.7002,53.37,79,7,2.19,clear sky
Mandera,KE,3.9366,41.867,81.66,61,100,8.88,light rain
Bodo,NO,67.28,14.405,42.84,70,100,16.11,overcast clouds
Conde,BR,-7.2597,-34.9075,76.78,73,100,13.18,overcast clouds
Paita,PE,-5.0892,-81.1144,68.04,72,23,18.34,few clouds
Fengrun,CN,39.8333,118.1167,42.67,23,0,5.08,clear sky
Praia,CV,14.9215,-23.5087,77.2,81,100,12.41,overcast clouds
Boyolangu,ID,-8.1181,111.8935,75.33,93,99,4.76,light rain
Innisfail,AU,-17.5333,146.0333,72.34,86,59,1.9,broken clouds
Hella,NO,67.2,14.4333,43.05,69,100,16.11,overcast clouds
Cairns,AU,-16.9167,145.7667,73.35,90,40,0.0,scattered clouds
Ornskoldsvik,SE,63.2909,18.7153,36.55,100,93,8.05,overcast clouds
Villarrobledo,ES,39.2699,-2.6012,65.86,54,38,9.69,scattered clouds
Ballarat,AU,-37.5662,143.8496,41.0,76,100,3.13,overcast clouds
Chandbali,IN,20.7833,86.7667,75.96,78,80,4.27,broken clouds
Pontian Kecil,MY,1.4801,103.3899,78.15,86,100,3.02,overcast clouds
Camana,PE,-16.6228,-72.7111,65.26,73,66,7.4,broken clouds
Okhotsk,RU,59.3833,143.3,23.92,60,100,17.05,overcast clouds
Upington,ZA,-28.4478,21.2561,70.93,60,99,12.82,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,66.38,76,9,3.0,clear sky
Bibiani,GH,6.4635,-2.3194,73.15,92,80,2.06,light rain
Vung Tau,VN,10.346,107.0843,78.78,82,79,7.36,broken clouds
Ust-Omchug,RU,61.15,149.6333,-5.76,99,77,5.41,broken clouds
Ust-Kulom,RU,61.6864,53.6902,41.29,94,100,9.8,light rain
Vestmanna,FO,62.1564,-7.1664,43.72,81,100,19.57,light rain
Uray,RU,60.1247,64.7758,38.12,92,67,5.77,broken clouds
Tynda,RU,55.1667,124.7167,24.51,78,56,3.22,broken clouds
Bakreswar,IN,23.8833,87.3667,73.81,74,28,5.44,scattered clouds
Sambava,MG,-14.2667,50.1667,68.65,85,36,9.35,scattered clouds
The Valley,AI,18.217,-63.0578,84.81,71,15,5.97,few clouds
Changtu,CN,42.7788,124.0955,34.75,59,0,3.2,clear sky
Blackwater,AU,-23.5833,148.8833,67.86,93,52,10.87,broken clouds
Aksu,CN,41.1231,80.2644,56.12,22,37,2.44,scattered clouds
Fershampenuaz,RU,53.5202,59.8117,37.62,84,24,8.03,few clouds
Camacari,BR,-12.6975,-38.3242,77.76,69,1,9.24,clear sky
Dongsheng,CN,39.8161,109.9776,35.91,29,0,6.17,clear sky
Jalu,LY,29.0331,21.5482,71.15,43,7,11.07,clear sky
Samarai,PG,-10.6167,150.6667,81.27,82,95,10.36,overcast clouds
Leo,BF,11.1,-2.1,79.23,48,92,6.46,overcast clouds
Beloha,MG,-25.1667,45.05,69.31,82,0,14.85,clear sky
Bosaso,SO,11.2842,49.1816,79.3,69,1,2.95,clear sky
Mazagao,BR,-0.115,-51.2894,89.46,53,46,8.03,scattered clouds
Isla Mujeres,MX,21.2311,-86.731,87.85,75,1,6.93,light rain
Salima,MW,-13.7804,34.4587,77.77,47,43,0.76,scattered clouds
Biak,ID,-0.9131,122.8766,76.44,85,100,1.28,light rain
Praia Da Vitoria,PT,38.7333,-27.0667,55.76,86,98,27.63,light rain
Bluefields,NI,12.0137,-83.7635,84.11,69,100,6.22,overcast clouds
San Felipe,VE,10.3399,-68.7425,83.5,72,100,4.09,light rain
Namwala,ZM,-15.7504,26.4384,81.7,26,84,10.76,broken clouds
Zhigansk,RU,66.7697,123.3711,6.78,98,100,0.94,overcast clouds
La Grande,US,45.3246,-118.0877,76.01,14,7,3.76,clear sky
Gravdal,NO,68.1214,13.5031,40.89,65,75,14.97,broken clouds
Alofi,NU,-19.0595,-169.9187,76.86,76,85,13.47,overcast clouds
Asau,RO,46.4333,26.4,43.72,69,11,3.22,few clouds
Naze,JP,28.3667,129.4833,67.06,81,100,23.62,overcast clouds
Tay Ninh,VN,11.3,106.1,74.12,94,100,4.38,overcast clouds
Rawson,AR,-43.3002,-65.1023,68.99,41,12,18.7,few clouds
Dickson,US,36.077,-87.3878,58.78,32,8,11.5,clear sky
Daru,PG,-9.0763,143.2092,79.2,85,100,11.01,overcast clouds
Bata,GQ,1.8639,9.7658,79.23,85,100,5.41,overcast clouds
Mtimbira,TZ,-8.7833,36.35,77.09,47,3,5.82,clear sky
Lodja,CD,-3.4833,23.4333,69.46,93,5,2.53,clear sky
Carmen,MX,18.6333,-91.8333,89.64,62,75,5.75,broken clouds
Aguimes,ES,27.9054,-15.4461,72.23,78,20,9.22,few clouds
Kutum,SD,14.2,24.6667,77.0,24,2,13.76,clear sky
Jambi,ID,-1.6,103.6167,74.25,97,100,1.25,overcast clouds
Corinto,GR,37.9407,22.9573,65.89,51,0,12.06,clear sky
Venice,US,27.0998,-82.4543,86.27,82,7,8.99,clear sky
Jablah,SY,35.3614,35.9256,74.55,78,26,4.65,scattered clouds
Uige,AO,-7.6087,15.0613,70.43,81,75,0.81,broken clouds
Celestun,MX,20.8667,-90.4,85.08,68,72,10.87,broken clouds
Barra Dos Coqueiros,BR,-10.9089,-37.0386,78.13,71,31,11.34,scattered clouds
Perth,AU,-31.9333,115.8333,56.03,83,0,8.05,clear sky
Abong Mbang,CM,3.9833,13.1833,69.73,93,100,2.71,overcast clouds
Dali,CN,25.7,100.1833,52.7,90,97,3.49,overcast clouds
Cleveland,US,41.4995,-81.6954,48.76,55,75,26.46,broken clouds
Matara,LK,5.9485,80.5353,75.42,91,99,6.76,overcast clouds
Buckeye,US,33.3703,-112.5838,85.82,36,0,11.5,clear sky
Kondinskoye,RU,59.6481,67.41,40.86,83,100,5.84,overcast clouds
Haflong,IN,25.1833,93.0333,68.45,97,9,0.85,clear sky
Linxia,CN,35.6003,103.2064,44.98,49,100,1.52,overcast clouds
Avenal,US,36.0041,-120.129,71.96,41,71,3.06,broken clouds
Nassau,US,40.7507,-73.5829,68.68,77,20,14.97,few clouds
Gedo,ET,9.0167,37.45,50.99,80,96,1.97,overcast clouds
Kazerun,IR,29.6195,51.6541,73.18,38,0,2.8,clear sky
Ryki,PL,51.6257,21.9327,61.05,73,20,7.94,few clouds
Kokopo,PG,-4.352,152.2633,76.95,86,100,3.74,overcast clouds
La Ronge,CA,55.1001,-105.2842,48.06,32,11,12.48,few clouds
Nelson Bay,AU,-32.7167,152.15,62.01,98,41,1.99,scattered clouds
Beringovskiy,RU,63.05,179.3167,21.7,62,1,4.7,clear sky
Cabedelo,BR,-6.9811,-34.8339,78.26,74,100,15.32,overcast clouds
Red Deer,CA,52.2668,-113.802,69.3,22,36,6.96,scattered clouds
Tymovskoye,RU,50.8456,142.655,30.45,85,100,8.66,light snow
Suzun,RU,53.7841,82.3116,41.4,79,93,7.78,overcast clouds
Bac Lieu,VN,9.285,105.7244,76.28,88,72,5.61,broken clouds
Bengbu,CN,32.9408,117.3608,47.26,37,0,6.2,clear sky
Yoichi,JP,43.2039,140.7703,47.08,64,93,17.09,overcast clouds
Onguday,RU,50.75,86.15,38.1,85,58,3.04,broken clouds
Anito,PH,12.4497,125.2886,77.56,89,100,3.51,moderate rain
Beyneu,KZ,45.3167,55.2,53.17,45,100,8.97,overcast clouds
Yarada,IN,17.65,83.2667,79.12,94,75,2.3,mist
Vardo,NO,70.3705,31.1107,40.98,87,75,21.85,broken clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,94.59,25,83,4.81,broken clouds
Zaysan,KZ,47.4667,84.8667,49.84,79,100,1.48,overcast clouds
Huilong,CN,31.8111,121.655,58.93,59,12,13.29,few clouds
Carora,VE,10.1755,-70.0827,88.39,48,100,4.97,light rain
Waitati,NZ,-45.75,170.5667,48.79,78,100,10.63,overcast clouds
Kamenka,RU,51.3223,42.7678,41.7,68,68,9.69,broken clouds
Dabakala,CI,8.3667,-4.4333,79.65,69,73,1.43,broken clouds
Leningradskiy,RU,69.3833,178.4167,14.32,91,100,7.14,overcast clouds
Calais,FR,50.9167,1.8333,59.05,91,100,6.91,overcast clouds
Raniganj,IN,23.6167,87.1333,75.09,73,59,4.36,broken clouds
Agadez,NE,19.75,10.25,80.38,25,0,8.66,clear sky
Alberton,CA,46.8168,-64.0654,53.83,84,80,2.84,broken clouds
Half Moon Bay,US,37.4636,-122.4286,75.81,64,0,11.5,clear sky
Methoni,GR,36.8197,21.7049,64.26,44,0,8.16,clear sky
Tessalit,ML,20.1986,1.0114,86.16,16,1,10.94,clear sky
Bairnsdale,AU,-37.8333,147.6167,46.06,96,10,2.26,clear sky
Barsovo,RU,61.1667,73.1667,39.33,87,92,5.79,overcast clouds
Cap Malheureux,MU,-19.9842,57.6142,66.47,76,8,3.0,clear sky
Bubaque,GW,11.2833,-15.8333,81.1,78,96,11.59,overcast clouds
Todos Santos,MX,23.45,-110.2167,87.3,74,0,10.04,clear sky
Manhattan,US,40.7834,-73.9662,68.94,65,100,11.01,overcast clouds
Moron,AR,-34.6534,-58.6198,69.03,71,28,14.83,scattered clouds
Chimbote,PE,-9.0853,-78.5783,65.19,75,83,11.39,broken clouds
Goderich,CA,43.7501,-81.7165,46.9,80,100,19.86,overcast clouds
Hohhot,CN,40.8106,111.6522,33.22,32,0,1.88,clear sky
Hualmay,PE,-11.0964,-77.6139,66.09,72,31,8.86,scattered clouds
Monterey,US,36.2505,-121.2516,73.18,38,100,3.2,overcast clouds
Panaba,MX,21.2833,-88.2667,91.6,49,75,8.43,broken clouds
Dunedin,NZ,-45.8742,170.5036,48.79,78,100,10.0,overcast clouds
Porto Murtinho,BR,-21.6989,-57.8825,82.85,60,16,8.5,few clouds
Fairbanks,US,64.8378,-147.7164,37.81,92,100,3.44,overcast clouds
Buala,SB,-8.145,159.5921,81.63,75,91,7.25,light rain
Gazli,UZ,40.1333,63.45,62.17,45,72,12.91,broken clouds
Ballina,AU,-28.8667,153.5667,62.02,99,88,2.53,light rain
Solnechnyy,RU,50.7214,136.6319,27.1,90,37,1.79,scattered clouds
Mayo,US,38.8876,-76.5119,72.03,69,40,11.5,scattered clouds
Nuevo Progreso,MX,23.1667,-97.95,89.55,61,100,8.79,overcast clouds
Keti Bandar,PK,24.1447,67.4497,81.36,64,0,10.47,clear sky
Gallup,US,35.5281,-108.7426,52.56,67,100,1.99,overcast clouds
Popondetta,PG,-8.7537,148.2534,72.97,94,100,2.84,overcast clouds
San Agustin,MX,20.5333,-103.4667,81.52,39,75,3.44,light rain
Taldan,RU,53.6667,124.8,28.06,63,17,7.05,few clouds
Chokwe,MZ,-24.5333,32.9833,75.69,66,50,9.78,scattered clouds
Sur,OM,22.5667,59.5289,79.32,42,92,8.28,overcast clouds
Aras,ES,42.5617,-2.356,63.75,88,0,5.75,clear sky
Brahasesti,RO,46.0333,27.3667,49.95,38,6,3.29,clear sky
Queimadas,BR,-10.9783,-39.6264,88.84,30,6,12.71,clear sky
Silver City,US,32.7701,-108.2803,58.96,71,40,14.97,scattered clouds
Damavand,IR,35.7178,52.065,55.65,28,34,1.63,scattered clouds
Yanam,IN,16.7333,82.2167,77.11,89,95,3.56,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,61.09,86,4,4.81,clear sky
De-Kastri,RU,51.4667,140.7833,30.29,71,58,9.95,broken clouds
Coxim,BR,-18.5067,-54.76,100.65,19,99,4.79,overcast clouds
Dnipryany,UA,46.7463,33.2729,51.46,58,0,5.86,clear sky
Jinchang,CN,38.4953,102.1739,48.2,24,0,4.59,clear sky
Sioux Lookout,CA,50.1001,-91.917,32.09,35,100,11.48,overcast clouds
Mandalgovi,MN,45.7625,106.2708,32.67,24,0,7.99,clear sky
Mulege,MX,26.8833,-111.9833,80.76,54,28,12.06,scattered clouds
Rivera,UY,-30.9053,-55.5508,66.22,75,100,18.59,overcast clouds
Yumen,CN,40.2833,97.2,44.71,18,0,2.19,clear sky
Nadym,RU,65.5333,72.5167,37.58,88,100,8.12,overcast clouds
Lorengau,PG,-2.0226,147.2712,80.42,82,100,9.64,overcast clouds
Ugoofaaru,MV,5.6667,73.0,79.99,81,100,17.63,overcast clouds
Severnyy,RU,50.677,36.5532,46.44,71,0,8.95,clear sky
Icod De Los Vinos,ES,28.3724,-16.7119,71.35,87,100,2.28,overcast clouds
Acapulco,MX,16.8634,-99.8901,87.62,70,75,0.0,light rain
Nador,MA,35.174,-2.9287,73.65,88,0,8.05,clear sky
Nkhata Bay,MW,-11.6066,34.2907,74.53,54,1,4.18,clear sky
Nyurba,RU,63.2842,118.3319,28.11,98,100,4.97,overcast clouds
Boysun,UZ,38.2061,67.1986,58.78,43,100,6.15,overcast clouds
Luena,AO,-11.7833,19.9167,65.44,71,86,4.76,overcast clouds
Dabhol,IN,17.6,73.1667,75.51,92,96,4.76,overcast clouds
Privolnaya,RU,46.1371,38.6951,51.8,53,0,8.39,clear sky
Bereda,ES,43.2686,-7.5406,61.57,100,3,1.92,clear sky
Trairi,BR,-3.2778,-39.2689,80.76,71,100,13.42,overcast clouds
Ahipara,NZ,-35.1667,173.1667,58.64,77,43,9.66,scattered clouds
Pinkafeld,AT,47.3667,16.1167,55.98,88,51,3.51,broken clouds
Champerico,GT,14.3,-91.9167,91.94,78,98,13.18,light rain
Batagay,RU,67.6333,134.6333,6.71,100,98,0.56,overcast clouds
Aflao,TG,6.116,1.1914,79.83,78,90,6.06,overcast clouds
Bayanday,RU,53.0661,105.5139,29.21,76,100,2.26,overcast clouds
Bonham,US,33.5773,-96.1783,67.41,29,40,10.36,scattered clouds
Ondjiva,AO,-17.0667,15.7333,78.48,35,54,10.13,broken clouds
Krasnogorsk,RU,55.8225,37.3181,46.74,87,75,11.18,broken clouds
Severo-Yeniseyskiy,RU,60.3725,93.0408,28.9,99,100,1.21,overcast clouds
Sao Miguel Do Araguaia,BR,-13.275,-50.1628,101.34,12,12,8.81,few clouds
Majene,ID,-3.5403,118.9707,77.05,91,100,1.79,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,81.93,73,55,12.95,broken clouds
Maloy,NO,61.9353,5.1136,46.72,35,100,8.93,light rain
Bizhbulyak,RU,53.6967,54.2642,38.41,81,68,8.63,broken clouds
Qandala,SO,11.472,49.8728,79.95,68,0,6.44,clear sky
Koumac,NC,-20.5667,164.2833,74.41,73,0,6.58,clear sky
Bitung,ID,1.4451,125.1824,76.05,80,79,1.01,broken clouds
Miles City,US,46.4083,-105.8406,65.37,32,0,5.75,clear sky
Churapcha,RU,62.0025,132.4325,10.47,99,96,3.33,overcast clouds
Rosamorada,MX,22.1222,-105.2058,88.83,60,93,5.32,overcast clouds
Pemberton,CA,50.3164,-122.8027,77.65,30,87,1.68,overcast clouds
Lupiro,TZ,-8.3833,36.6667,76.01,55,1,10.27,clear sky
Marshfield,US,44.6689,-90.1718,36.66,64,100,19.57,overcast clouds
Depok,ID,-6.4,106.8186,79.65,92,94,3.91,overcast clouds
Olinda,BR,-8.0089,-34.8553,80.33,69,40,10.36,scattered clouds
Loiza,PR,18.4313,-65.8802,84.18,78,75,10.36,broken clouds
San Vicente,AR,-26.6167,-54.1333,71.4,70,100,3.53,overcast clouds
Mayumba,GA,-3.432,10.6554,77.76,89,71,7.74,broken clouds
Malartic,CA,48.1335,-78.1328,43.02,92,100,7.85,light rain
Caceres,ES,39.522,-6.3748,70.23,43,38,3.91,scattered clouds
Novobureyskiy,RU,49.798,129.8774,27.32,73,0,8.01,clear sky
Priiskovyy,RU,51.9333,116.6333,26.67,56,5,4.45,clear sky
Begun,IN,24.9833,75.0,68.58,58,0,4.14,clear sky
Eureka,US,40.8021,-124.1637,76.68,70,100,5.91,overcast clouds
Santa Rita,BR,-7.1139,-34.9781,81.27,69,40,16.11,scattered clouds
Avera,US,33.194,-82.5271,80.11,46,100,13.24,overcast clouds
Elizabeth City,US,36.2946,-76.2511,80.62,61,40,16.11,scattered clouds
Placerville,US,38.7296,-120.7986,78.78,43,0,4.61,clear sky
Maryville,US,35.7565,-83.9705,67.06,47,20,19.57,few clouds
Maun,BW,-19.9833,23.4167,78.01,23,96,3.09,overcast clouds
Minatitlan,MX,17.9833,-94.5167,82.49,89,75,3.44,broken clouds
Kisangani,CD,0.5167,25.2,69.24,87,37,2.84,scattered clouds
